forum,url,country,language,primary_topic,topics,forum_type,status,domain_rating,domain_rating_provider,last_verified_at,registration_access,registration_cost,thread_creation,reply_posting,profile_website_available,profile_backlink_type,profile_link_target_type,profile_indexability,post_body_backlink_type,post_body_link_target_type,thread_indexability,signature_backlink_type,evidence_checked_at
flyingbison.rpg-board.net,https://flyingbison.rpg-board.net/,,,GAMING_ESPORTS,GAMING_ESPORTS,INDEPENDENT,DORMANT,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
flyinglegends.rpg-board.net,https://flyinglegends.rpg-board.net/forum,,en,GAMING_ESPORTS,GAMING_ESPORTS,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
fma-rpg.rpg-board.net,https://fma-rpg.rpg-board.net/,,en,GAMING_ESPORTS,GAMING_ESPORTS; ANIMALS_PETS; NEWS_POLITICS_SOCIETY,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
fmaroleplay.rpg-board.net,https://fmaroleplay.rpg-board.net/,,en,GAMING_ESPORTS,GAMING_ESPORTS,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
fmirp.rpg-board.net,https://fmirp.rpg-board.net/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; ENGINEERING; GAMING_ESPORTS; NEWS_POLITICS_SOCIETY,INDEPENDENT,DORMANT,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
FMOD Forums,https://qa.fmod.com/,,zh; en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,72,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,LOGIN_REQUIRED,UNKNOWN,UNKNOWN,LOGIN_REQUIRED,UNKNOWN,2026-08-27
fniwp.rpg-board.net,https://fniwp.rpg-board.net/forum,,en,BUSINESS_ENTREPRENEURSHIP,BUSINESS_ENTREPRENEURSHIP; GAMING_ESPORTS,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Folksy Forums,https://talk.folksy.com/,,en,MARKETING_SEO_GROWTH,MARKETING_SEO_GROWTH; ECOMMERCE_MARKETPLACES; HOBBIES_COLLECTING_OUTDOORS,OTHER,ACTIVE,76,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,INDEXABLE,UGC,DIRECT_EXTERNAL,INDEXABLE,UNKNOWN,2026-08-27
forbiddenforest.forumotion.net,https://forbiddenforest.forumotion.net/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; EDUCATION_STUDENTS; MUSIC_ENTERTAINMENT_CULTURE,INDEPENDENT,UNKNOWN,60,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forbiddengates.rpg-board.net,https://forbiddengates.rpg-board.net/,,,GAMING_ESPORTS,GAMING_ESPORTS,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"Forest Admin Developers Community - Build your admin panels, together!",https://community.forestadmin.com/,,en,CONSTRUCTION,CONSTRUCTION; NEWS_POLITICS_SOCIETY,OTHER,ACTIVE,52,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
foreststory.rpg-board.net,https://foreststory.rpg-board.net/,,en,GAMING_ESPORTS,GAMING_ESPORTS; CREATIVE_DESIGN; NEWS_POLITICS_SOCIETY,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forexforum.forumotion.net,https://forexforum.forumotion.net/,,en,FINANCE_INVESTING_BANKING,FINANCE_INVESTING_BANKING; CYBERSECURITY_IT; TECHNOLOGY_SOFTWARE; NEWS_POLITICS_SOCIETY,INDEPENDENT,ACTIVE,60,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MIXED,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
forgottenpurrs.rpg-board.net,https://forgottenpurrs.rpg-board.net/,,en,ECOMMERCE_MARKETPLACES,ECOMMERCE_MARKETPLACES; GAMING_ESPORTS; ANIMALS_PETS,HOBBY_COMMUNITY,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forks.lithuanianforum.com,https://forks.lithuanianforum.com/,,,GAMING_ESPORTS,GAMING_ESPORTS,INDEPENDENT,UNKNOWN,10,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Formlabs Community Forum,https://forum.formlabs.com/,,zh; en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; NEWS_POLITICS_SOCIETY,OTHER,ACTIVE,78,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,LOGIN_REQUIRED,UGC,DIRECT_EXTERNAL,INDEXABLE,UNKNOWN,2026-08-27
Foro Tuenti - Foro de usuarios de Tuenti Argentina,https://foro.tuenti.com.ar/,,es,GAMING_ESPORTS,GAMING_ESPORTS,OTHER,ACTIVE,38,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
ForoMedios.com,https://foromedios.com/,,es,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,7,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forthefunofit.rpg-board.net,https://forthefunofit.rpg-board.net/,,en,GAMING_ESPORTS,GAMING_ESPORTS; MUSIC_ENTERTAINMENT_CULTURE; NEWS_POLITICS_SOCIETY,HOBBY_COMMUNITY,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Fortran Discourse - Fortran community,https://fortran-lang.discourse.group/,,en,CAREERS_HR_RECRUITMENT,CAREERS_HR_RECRUITMENT,OTHER,ACTIVE,81,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_OBSERVED,UNKNOWN,UNKNOWN,LOGIN_REQUIRED,FOLLOW,DIRECT_EXTERNAL,INDEXABLE,UNKNOWN,2026-08-27
fortunesfolly.rpg-board.net,https://fortunesfolly.rpg-board.net/,,,ECOMMERCE_MARKETPLACES,ECOMMERCE_MARKETPLACES; GAMING_ESPORTS; MUSIC_ENTERTAINMENT_CULTURE; NEWS_POLITICS_SOCIETY,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
fortunesfool.rpg-board.net,https://fortunesfool.rpg-board.net/forum,,,GAMING_ESPORTS,GAMING_ESPORTS; MUSIC_ENTERTAINMENT_CULTURE,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Forum - JabRef - Offical JabRef support form,https://discourse.jabref.org/,,zh; en,NEWS_POLITICS_SOCIETY,NEWS_POLITICS_SOCIETY,OTHER,ACTIVE,65,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,INDEXABLE,MIXED,DIRECT_EXTERNAL,INDEXABLE,UNKNOWN,2026-08-27
Forum Abby,https://community.abby.fr/,,fr,ANIMALS_PETS,ANIMALS_PETS,OTHER,ACTIVE,60,Ahrefs,2026-08-26,OPEN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_OBSERVED,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
Forum Brésil - Le forum des passionnés du Brésil,https://forum-bresil.com/,,,TECHNOLOGY_SOFTWARE,TECHNOLOGY_SOFTWARE; TRAVEL_EXPAT_IMMIGRATION; MUSIC_ENTERTAINMENT_CULTURE,OTHER,ACTIVE,4,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"Forum d'aide à la réparation d'appareils électroménagers, de chauffage, de jardinage, de bricolage - Adepem.com - Une solution efficace pour vous aider dans l'auto-réparation !",https://forum.adepem.com/,,fr,ANIMALS_PETS,ANIMALS_PETS,OTHER,ACTIVE,40,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Fórum Fazedores,https://forum.fazedores.com/,,pt,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,29,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Forum Finance n°1 pour les investisseurs en France - Finary - Le forum finance n°1 pour les investisseurs en France,https://community.finary.com/,France,fr,FINANCE_INVESTING_BANKING,FINANCE_INVESTING_BANKING; CRYPTO_WEB3; ANIMALS_PETS,LOCAL_REGIONAL,ACTIVE,61,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
"Forum Finance pour investisseurs indépendants | Cayas - Rejoignez une communauté d'investisseurs indépendants. Posez vos questions finances personnelles et bourse : ETF, actions, c",https://forum.cayas.fr/,,fr,FINANCE_INVESTING_BANKING,FINANCE_INVESTING_BANKING; CRYPTO_WEB3; ANIMALS_PETS,OTHER,ACTIVE,10,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Forum G Comme Gendarme - Le forum des (futurs) gendarmes,https://forum.gcommegendarme.fr/,,fr,SPORTS_FITNESS,SPORTS_FITNESS,HOBBY_COMMUNITY,ACTIVE,30,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Forum GCE Electronics - Communauté des utilisateurs des produits de GCE Electronics.,https://forum.gce-electronics.com/,,fr,ANIMALS_PETS,ANIMALS_PETS,OTHER,ACTIVE,45,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Forum Geekzone,https://forum.geekzone.fr/,,fr,GAMING_ESPORTS,GAMING_ESPORTS; ANIMALS_PETS; MUSIC_ENTERTAINMENT_CULTURE,HOBBY_COMMUNITY,ACTIVE,38,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"Forum HomeExchange - Discover experiences, tips, questions, and ideas from HomeExchange community",https://forum.homeexchange.com/,,en; fr; zh,TRAVEL_EXPAT_IMMIGRATION,TRAVEL_EXPAT_IMMIGRATION; ANIMALS_PETS; NEWS_POLITICS_SOCIETY,Q_AND_A,ACTIVE,74,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
Forum Italia,https://forum.italia.it/,,it,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,85,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_OBSERVED,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
Forum juridique Juritravail : Posez votre question juridique,https://forum.juritravail.com/,,fr,ANIMALS_PETS,ANIMALS_PETS,OTHER,ACTIVE,73,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_OBSERVED,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
Forum Motocyklowe Jednoślad.pl,https://forum.jednoslad.pl/,,,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,UNKNOWN,40,Ahrefs,2026-08-27,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Forum SOS Casino - Le forum du casino en ligne,https://forum.soscasino.info/,,fr,CRYPTO_WEB3,CRYPTO_WEB3; ANIMALS_PETS,OTHER,ACTIVE,18,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forum-2.rpg-board.net,https://forum-2.rpg-board.net/,,en,GAMING_ESPORTS,GAMING_ESPORTS; NEWS_POLITICS_SOCIETY,Q_AND_A,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forumbt.forumeiro.com,https://forumbt.forumeiro.com/,,pt,TECHNOLOGY_SOFTWARE,TECHNOLOGY_SOFTWARE; GAMING_ESPORTS; MUSIC_ENTERTAINMENT_CULTURE,HOBBY_COMMUNITY,ACTIVE,28,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forumesports.forumotion.asia,https://forumesports.forumotion.asia/,,,GAMING_ESPORTS,GAMING_ESPORTS; SPORTS_FITNESS,HOBBY_COMMUNITY,DORMANT,33,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
ForumIA le Forum sur l'Intelligence Artificielle - IA !,https://forumia.fr/,,fr,ANIMALS_PETS,ANIMALS_PETS,OTHER,ACTIVE,4,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forumlovers.aforumfree.com,https://forumlovers.aforumfree.com/forum,,,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; TECHNOLOGY_SOFTWARE; SCIENCE; AUTOMOTIVE; MUSIC_ENTERTAINMENT_CULTURE,INDEPENDENT,ACTIVE,41,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Forumosa - Taiwan's largest and most active Taiwan-oriented global online community in English,https://tw.forumosa.com/,Taiwan,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; TECHNOLOGY_SOFTWARE; HEALTH_MEDICINE; AUTOMOTIVE; SPORTS_FITNESS,OTHER,ACTIVE,38,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
forumrobbiewilliams.forumactif.com,https://forumrobbiewilliams.forumactif.com/forum,,,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,INDEPENDENT,UNKNOWN,78,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Forums FFJdR - Venez discuter JdR !,https://forums.ffjdr.org/,,fr,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,39,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
FórumSCP - Comunidade do Sporting Clube de Portugal,https://forumscp.com/,,pt,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,33,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
FoundationDB,https://forums.foundationdb.org/,,en,SPORTS_FITNESS,SPORTS_FITNESS,OTHER,ACTIVE,63,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,LOGIN_REQUIRED,UGC,DIRECT_EXTERNAL,INDEXABLE,UNKNOWN,2026-08-27
foxysnetwork.rpg-board.net,https://foxysnetwork.rpg-board.net/,,,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; CYBERSECURITY_IT; TECHNOLOGY_SOFTWARE; BUSINESS_ENTREPRENEURSHIP; GAMING_ESPORTS,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
Frame.io Developer Forum,https://forum.frame.io/,,,PROGRAMMING_DEVELOPMENT,PROGRAMMING_DEVELOPMENT; PHOTOGRAPHY_VIDEO,OTHER,ACTIVE,85,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-27
Framework Community - Discussion and support for Framework products,https://community.frame.work/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,75,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,AVAILABLE,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,INDEXABLE,UGC,DIRECT_EXTERNAL,INDEXABLE,UNKNOWN,2026-08-27
Freelancing Stack Exchange,https://freelancing.stackexchange.com/,,en,MARKETING_SEO_GROWTH,MARKETING_SEO_GROWTH; TECHNOLOGY_SOFTWARE; BUSINESS_ENTREPRENEURSHIP,Q_AND_A,ACTIVE,91,Ahrefs,2026-08-27,UNKNOWN,UNKNOWN,AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-27
Freeletics Forum - Place for Free Athletes to come together and support each other,https://forum.freeletics.com/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; SPORTS_FITNESS; NEWS_POLITICS_SOCIETY,Q_AND_A,ACTIVE,72,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
FreeMdict Forum - 自由 无门槛 免费,https://forum.freemdict.com/,,zh,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,39,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
FreePBX Community Forums,https://community.freepbx.org/,,en,CYBERSECURITY_IT,CYBERSECURITY_IT; TECHNOLOGY_SOFTWARE; NEWS_POLITICS_SOCIETY,OTHER,ACTIVE,75,Ahrefs,2026-08-26,OPEN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
FreeRTOS Community Forums - The FreeRTOS Community Forums,https://forums.freertos.org/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC,OTHER,ACTIVE,74,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,AVAILABLE,NOT_OBSERVED,UNKNOWN,UNKNOWN,LOGIN_REQUIRED,UNKNOWN,UNKNOWN,INDEXABLE,UNKNOWN,2026-08-27
freeware.rpg-board.net,https://freeware.rpg-board.net/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; TECHNOLOGY_SOFTWARE; HEALTH_MEDICINE; GAMING_ESPORTS; MUSIC_ENTERTAINMENT_CULTURE,INDEPENDENT,DORMANT,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
frekans.rpg-board.net,https://frekans.rpg-board.net/,,,GAMING_ESPORTS,GAMING_ESPORTS,INDEPENDENT,UNKNOWN,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
French Language Stack Exchange,https://french.stackexchange.com/,,en,EDUCATION_STUDENTS,EDUCATION_STUDENTS,Q_AND_A,UNKNOWN,91,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
friends4everfun.rpg-board.net,https://friends4everfun.rpg-board.net/,,en,FINANCE_INVESTING_BANKING,FINANCE_INVESTING_BANKING; GAMING_ESPORTS; ANIMALS_PETS; NEWS_POLITICS_SOCIETY,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
friendship-2.rpg-board.net,https://friendship-2.rpg-board.net/forum,,en,GAMING_ESPORTS,GAMING_ESPORTS; MUSIC_ENTERTAINMENT_CULTURE,INDEPENDENT,DORMANT,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
frontierind.rpg-board.net,https://frontierind.rpg-board.net/,,en,GENERAL_MULTI_TOPIC,GENERAL_MULTI_TOPIC; TECHNOLOGY_SOFTWARE; GAMING_ESPORTS; NEWS_POLITICS_SOCIETY,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
ft-mod.rpg-board.net,https://ft-mod.rpg-board.net/,,en,GAMING_ESPORTS,GAMING_ESPORTS; ANIMALS_PETS; PARENTING_FAMILY,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
ft-ort.rpg-board.net,https://ft-ort.rpg-board.net/,,en,GAMING_ESPORTS,GAMING_ESPORTS,HOBBY_COMMUNITY,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
ftascension.rpg-board.net,https://ftascension.rpg-board.net/,,,GAMING_ESPORTS,GAMING_ESPORTS,INDEPENDENT,ACTIVE,57,Ahrefs,2026-08-26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
