id,name,country,coverage,platform_type,procurement_intelligence_score,procurement_intelligence_band,procurement_model,supplier_actions,foreign_eligibility_state,electronic_submission,browser_check_state,evidence_level,best_for
de-vergabemarktplatz-mecklenburg-vorpommern,Vergabemarktplatz Mecklenburg-Vorpommern (eGo-MV),germany,municipal,regional-procurement,73,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier; manufacturer
de-vergabemarktplatz-rheinland-pfalz,Vergabemarktplatz Rheinland-Pfalz (vergabe.rlp.de),germany,regional,regional-procurement,68,STRONG,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
de-vergabeplattform-vergabe-bayern-der,"Vergabeplattform ""vergabe.bayern"" der Bayerischen Staatsbauverwaltung (vergabe.bayern.de)",germany,regional,regional-procurement,34,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,
de-vergabeplattform-baden-wurttemberg,Vergabeplattform Baden-Württemberg (vergabe.landbw.de),germany,regional,regional-procurement,68,STRONG,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
de-vergabeplattform-berlin,Vergabeplattform Berlin,germany,regional,regional-procurement,76,STRONG,full-electronic-procurement,SEARCH; SUBMIT_ELECTRONICALLY,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,eu-company; local-sme; healthcare
de-vergabeplattform-land-hessen,Vergabeplattform Land Hessen (vergabe.hessen.de),germany,regional,regional-procurement,68,STRONG,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
de-vergabeplattform-der-freien,Vergabeplattform der Freien Hansestadt Bremen,germany,regional,regional-procurement,64,GOOD,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; eu-company
de-vergabemarktplatz-mv,Vergabeplattform der Landesverwaltung Mecklenburg-Vorpommern,germany,regional,regional-procurement,68,STRONG,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
de-vergabeplattform-des-freistaates,Vergabeplattform des Freistaates Sachsen (eVergabe Sachsen),germany,regional,regional-procurement,75,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier; manufacturer
de-auftraege-bayern,auftraege.bayern — Bayerische Vergabeplattform (auftraege.bayern.de),germany,regional,regional-procurement,68,STRONG,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
de-evergabe-bund,e-Vergabe — Vergabeplattform des Bundes,germany,national,national-procurement,,NOT_YET_SCORED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,COOKIE_GATE,UNKNOWN,
de-e-vergabe-sh,e-vergabe.SH (Vergabeportal der GMSH für Schleswig-Holstein),germany,regional,regional-procurement,87,EXCEPTIONAL,full-electronic-procurement,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier; eu-company
de-evergabe-hamburg,eVergabe Hamburg (Vergabeportal der Freien und Hansestadt Hamburg),germany,regional,regional-procurement,45,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,local-sme
de-vergabe-niedersachsen,vergabe.Niedersachsen (Vergabeplattform Niedersachsen),germany,regional,regional-procurement,75,STRONG,discovery-plus-registration,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; industrial-supplier; manufacturer
de-vergabe-saarland,vergabe.saarland — Zentrale E-Vergabeplattform für das Saarland,germany,regional,regional-procurement,68,STRONG,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,local-sme; eu-company; manufacturer
gh-ghaneps,GHANEPS,ghana,national,national-procurement,77,STRONG,discovery-plus-documents,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; engineering; industrial-supplier
gh-ppa-supplier-portal,PPA Supplier Portal,ghana,national,national-procurement,41,MODERATE,authorized-marketplace-or-tenant,REGISTER,NOT_VERIFIED,no,NOT_REQUIRED,OBSERVABLE,local-sme
int-adb-consultant-management-system,ADB Consultant Management System (CMS),global,supranational,development-bank,79,STRONG,discovery-plus-documents,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,engineering; professional-services; energy
int-adb-projects-tenders,ADB Projects & Tenders (ADB Business Opportunities),global,supranational,development-bank,44,MODERATE,project-financed-surface,DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,BOT_PROTECTION,VERIFIED,engineering; professional-services; infrastructure
int-aiib-corporate-procurement-opportunities,AIIB Corporate Procurement Opportunities,global,institutional,institutional-procurement,64,GOOD,corporate-procurement-surface,SEARCH; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,yes,SCRIPT_RENDERED,VERIFIED,professional-services; manufacturer; healthcare
int-aiib-project-procurement-opportunities,AIIB Project Procurement Opportunities,global,supranational,development-bank,68,STRONG,project-financed-surface,SEARCH; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,no,UNSPECIFIED,VERIFIED,manufacturer; professional-services; exporter
int-afdb-project-procurement-notices,AfDB Project Procurement Notices (African Development Bank Group — project-financed procurement),global,supranational,development-bank,63,GOOD,project-financed-surface,SEARCH; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,BOT_PROTECTION,VERIFIED,engineering; infrastructure; professional-services
int-afdb-e-procurement-portal,AfDB e-Procurement Portal (African Development Bank corporate procurement),global,supranational,development-bank,91,EXCEPTIONAL,corporate-procurement-transactional,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,VERIFIED,energy; engineering; healthcare
int-african-union-bids,African Union Bids (AUC Procurement),global,supranational,institutional-procurement,56,GOOD,corporate-procurement-surface,SEARCH; DOWNLOAD_DOCUMENTS,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,engineering; professional-services; energy
int-bcie-adquisiciones-en-proyectos,BCIE Adquisiciones en Proyectos (CABEI Project Procurement Notices),global,institutional,development-bank,53,GOOD,project-financed-surface,SEARCH; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,SCRIPT_RENDERED,VERIFIED,infrastructure; energy; healthcare
int-bid-for-the-americas,BID for the Americas / BID para las Américas (IDB tender discovery app),global,supranational,development-bank,58,GOOD,project-financed-surface,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,SCRIPT_RENDERED,VERIFIED,healthcare; infrastructure; manufacturer
int-boad-appels-d-offre,BOAD Appels d'offre (West African Development Bank procurement notices),global,supranational,development-bank,38,MODERATE,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,OBSERVABLE,professional-services; healthcare
int-caf,CAF — Licitaciones y Convocatorias (Banco de Desarrollo de América Latina y el Caribe),global,institutional,development-bank,39,MODERATE,registration-system,REGISTER; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,WAF,OBSERVABLE,professional-services; engineering; industrial-supplier
int-cdb-bridge,CDB BRIDGE — Caribbean Development Bank Vendor Registry and Procurement Information Portal,global,institutional,development-bank,39,MODERATE,authorized-marketplace-or-tenant,DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,SCRIPT_RENDERED,VERIFIED,energy; healthcare
int-cern-e-procurement-portal,CERN e-Procurement Portal,global,supranational,international-organization,67,STRONG,corporate-procurement-surface,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,VERIFIED,industrial-supplier; healthcare; manufacturer
int-caribbean-community,Caribbean Community (CARICOM) Public Procurement Notice Board,global,supranational,international-organization,54,GOOD,registration-system,REGISTER; DOWNLOAD_DOCUMENTS,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,engineering; professional-services; industrial-supplier
int-caribbean-development-bank,Caribbean Development Bank — Procurement Notices,global,institutional,development-bank,53,GOOD,registration-system,REGISTER; DOWNLOAD_DOCUMENTS,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,professional-services; engineering; industrial-supplier
int-council-of-europe-development,Council of Europe Development Bank (CEB) Tenders,global,supranational,development-bank,72,STRONG,corporate-procurement-transactional,REGISTER; DOWNLOAD_DOCUMENTS; SUBMIT_ELECTRONICALLY,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,b2b-saas; energy; healthcare
int-council-of-europe-eproc,Council of Europe EProc,global,supranational,international-organization,69,STRONG,corporate-procurement-surface,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,VERIFIED,professional-services; healthcare; engineering
int-eac-supplier-portal,EAC Supplier Portal (e-Procurement),global,supranational,institutional-procurement,53,GOOD,corporate-procurement-surface,REGISTER; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,unknown,SCRIPT_RENDERED,VERIFIED,engineering; professional-services; industrial-supplier
int-ebid-procurement,EBID Procurement (ECOWAS Bank for Investment and Development),global,supranational,development-bank,37,MODERATE,corporate-procurement-surface,MONITOR_ONLY,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,professional-services; healthcare
int-ecowas-procurement-notices,ECOWAS Procurement Notices,global,supranational,institutional-procurement,37,MODERATE,corporate-procurement-surface,MONITOR_ONLY,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,professional-services; healthcare
int-eumits,EUMITS — EUMETSAT Invitation to Tender System,global,supranational,international-organization,75,STRONG,corporate-procurement-surface,SEARCH; REGISTER,NOT_VERIFIED,unknown,NOT_REQUIRED,VERIFIED,industrial-supplier; logistics; healthcare
int-entidad-binacional-yacyreta,Entidad Binacional Yacyretá — Licitaciones,global,supranational,institutional-procurement,39,MODERATE,corporate-procurement-surface,MONITOR_ONLY,NOT_VERIFIED,no,NOT_REQUIRED,OBSERVABLE,healthcare
int-fonplata-adquisiciones-en-proyectos,FONPLATA Adquisiciones en Proyectos,global,institutional,development-bank,43,MODERATE,project-financed-surface,DOWNLOAD_DOCUMENTS,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,professional-services; engineering; infrastructure
int-fonplata-registro-de-consultores,FONPLATA Registro de Consultores (Consultant Roster),global,institutional,development-bank,38,MODERATE,unknown,MONITOR_ONLY,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,
int-gcf-supplier-portal,GCF Supplier Portal,global,supranational,international-organization,60,GOOD,corporate-procurement-surface,REGISTER; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,UNSPECIFIED,VERIFIED,engineering; professional-services; industrial-supplier
int-iaea-isupplier-portal,IAEA iSupplier Portal,global,supranational,international-organization,46,MODERATE,corporate-procurement-surface,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,OBSERVABLE,professional-services; healthcare
int-idb-beo-procurement-portal,IDB BEO Procurement Portal (Bank-Executed Operational Work bidder portal),global,institutional,institutional-procurement,71,STRONG,full-electronic-procurement,REGISTER; SUBMIT_ELECTRONICALLY,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,professional-services
int-idb-project-procurement,"IDB Project Procurement — Procurement Notices, Plans and Awarded Contracts",global,supranational,development-bank,63,GOOD,project-financed-surface,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,BOT_PROTECTION,VERIFIED,professional-services; healthcare; engineering
int-imo-procurement-portal,IMO Procurement Portal (Public Tenders),global,supranational,international-organization,83,EXCEPTIONAL,corporate-procurement-surface,SEARCH; REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,industrial-supplier; professional-services; healthcare
int-interpol-e-tendering-platform,INTERPOL e-Tendering Platform,global,supranational,international-organization,69,STRONG,corporate-procurement-surface,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,professional-services; healthcare; engineering
int-iom-supplier-portal,IOM Supplier Portal (WAVE) and IOM Procurement Opportunities,global,supranational,international-organization,56,GOOD,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,WAF,OBSERVABLE,industrial-supplier; professional-services; healthcare
int-isdb-corporate-procurement,IsDB Corporate Procurement — Suppliers Gateway,global,institutional,institutional-procurement,82,EXCEPTIONAL,corporate-procurement-transactional,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,COOKIE_GATE,OBSERVABLE,healthcare; industrial-supplier; energy
int-isdb-project-procurement-portal,IsDB Project Procurement Portal,global,supranational,development-bank,77,STRONG,project-financed-surface,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,engineering; industrial-supplier; infrastructure
int-itaipu-binacional,Itaipu Binacional — Portal dos Fornecedores / Portal de Compras Eletrônicas,global,supranational,institutional-procurement,85,EXCEPTIONAL,corporate-procurement-transactional,SEARCH; DOWNLOAD_DOCUMENTS; SUBMIT_ELECTRONICALLY,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,b2b-saas; energy; exporter
int-nato-allied-command-operations,NATO Allied Command Operations (ACO) e-Bidding Portal,global,supranational,international-organization,75,STRONG,corporate-procurement-surface,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,WAF,OBSERVABLE,engineering; industrial-supplier; professional-services
int-nato-front-door-for,NATO Front Door for Industry — Procurement Opportunities,global,supranational,international-organization,67,STRONG,corporate-procurement-surface,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,professional-services; logistics; healthcare
int-nato-hq-bizopps-portal,NATO HQ BizOpps Portal,global,supranational,international-organization,91,EXCEPTIONAL,corporate-procurement-transactional,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,WAF,VERIFIED,energy; engineering; healthcare
int-nci-agency-neo-eprocurement,NCI Agency Neo eProcurement,global,supranational,international-organization,75,STRONG,corporate-procurement-surface,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,OBSERVABLE,b2b-saas; engineering; industrial-supplier
int-nspa-eprocurement-portal,NSPA eProcurement Portal,global,supranational,international-organization,75,STRONG,corporate-procurement-surface,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,OBSERVABLE,industrial-supplier; professional-services; healthcare
int-new-development-bank-e-procurement,New Development Bank e-Procurement System (NDB EPS),global,supranational,development-bank,87,EXCEPTIONAL,corporate-procurement-transactional,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,energy; engineering; healthcare
int-oecd-procurement-portal,OECD Procurement Portal (Prospeum),global,supranational,international-organization,69,STRONG,corporate-procurement-surface,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,VERIFIED,professional-services; healthcare; engineering
int-oecs-commission,OECS Commission — Procurements (Current Tenders and Database of Registered Bidders),global,supranational,international-organization,58,GOOD,registration-system,REGISTER; DOWNLOAD_DOCUMENTS,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,engineering; professional-services; industrial-supplier
int-opec-fund-corporate-procurement,OPEC Fund Corporate Procurement,global,supranational,development-bank,73,STRONG,corporate-procurement-surface,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,b2b-saas; professional-services; logistics
int-osce-procurement,OSCE Procurement,global,supranational,international-organization,73,STRONG,corporate-procurement-surface,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS,NOT_VERIFIED,no,NOT_REQUIRED,OBSERVABLE,engineering; industrial-supplier; professional-services
int-portal-de-adquisiciones-institucionales,Portal de Adquisiciones Institucionales del BCIE (CABEI Institutional Procurement Portal),global,institutional,development-bank,62,GOOD,corporate-procurement-surface,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,TRANSPORT_FAILURE,VERIFIED,industrial-supplier; energy; healthcare
int-quantum-supplier-portal,"Quantum Supplier Portal (UNDP, UNFPA, UN Women, UNCDF, UNV)",global,supranational,international-organization,50,GOOD,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,UNSPECIFIED,VERIFIED,professional-services; healthcare
int-sadc-open-procurement-opportunities,SADC Open Procurement Opportunities,global,supranational,institutional-procurement,37,MODERATE,corporate-procurement-surface,DOWNLOAD_DOCUMENTS,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,engineering; professional-services; energy
int-sepa,SEPA — Sistema de Ejecución de Planes de Adquisiciones (IDB procurement plans micro-site),global,supranational,development-bank,67,STRONG,project-financed-surface,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,infrastructure; professional-services
int-tdb-consulting-procurement,TDB Consulting & Procurement notices (Trade and Development Bank),global,supranational,development-bank,42,MODERATE,corporate-procurement-surface,MONITOR_ONLY,NOT_VERIFIED,unknown,NOT_REQUIRED,OBSERVABLE,professional-services; healthcare
int-the-global-fund-open,The Global Fund Open Tenders,global,supranational,international-organization,56,GOOD,corporate-procurement-surface,SEARCH; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,VERIFIED,engineering; professional-services; energy
int-undp-procurement-notices,UNDP Procurement Notices,global,supranational,international-organization,91,EXCEPTIONAL,full-electronic-procurement,SEARCH; REGISTER; SUBMIT_ELECTRONICALLY,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,healthcare; industrial-supplier; professional-services
int-unicef-electronic-tendering-site,UNICEF Electronic Tendering Site (UNICEF e-Submissions),global,institutional,institutional-procurement,79,STRONG,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,yes,BOT_PROTECTION,VERIFIED,professional-services; industrial-supplier; manufacturer
int-unops-esourcing,UNOPS eSourcing,global,institutional,institutional-procurement,60,GOOD,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,yes,SCRIPT_RENDERED,VERIFIED,professional-services; foreign-supplier; industrial-supplier
int-united-nations-global-marketplace,United Nations Global Marketplace (UNGM),global,supranational,international-organization,88,EXCEPTIONAL,corporate-procurement-surface,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,engineering; industrial-supplier; manufacturer
int-united-nations-procurement-division,United Nations Procurement Division (UNPD) — UN Secretariat procurement portal,global,institutional,institutional-procurement,83,EXCEPTIONAL,corporate-procurement-surface,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS,VERIFIED_ACCEPTED,yes,NOT_REQUIRED,VERIFIED,professional-services; engineering; industrial-supplier
int-wbgeprocure-rfx-now,WBGeProcure RFx Now (World Bank Group corporate procurement),global,supranational,institutional-procurement,91,EXCEPTIONAL,corporate-procurement-transactional,SEARCH; REGISTER; DOWNLOAD_DOCUMENTS; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,energy; engineering; healthcare
int-wfp-electronic-tendering-site,WFP Electronic Tendering Site,global,institutional,institutional-procurement,70,STRONG,corporate-procurement-surface,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,UNSPECIFIED,OBSERVABLE,professional-services; industrial-supplier; healthcare
int-who-electronic-tendering-portal,WHO Electronic Tendering Portal,global,institutional,institutional-procurement,79,STRONG,corporate-procurement-surface,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,yes,SCRIPT_RENDERED,VERIFIED,professional-services; industrial-supplier; manufacturer
int-world-bank-group-procurement,World Bank Group Procurement Notices (Bank-financed project opportunities),global,supranational,development-bank,59,GOOD,project-financed-surface,SEARCH; DOWNLOAD_DOCUMENTS; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,UNSPECIFIED,OBSERVABLE,engineering; infrastructure; professional-services
int-esa-star,esa-star (ESA Publication and Registration),global,supranational,international-organization,67,STRONG,corporate-procurement-surface,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,VERIFIED,industrial-supplier; healthcare; manufacturer
gr-esidis,ESIDIS – National Electronic Public Procurement System (ΕΣΗΔΗΣ / Promitheus),greece,national,national-procurement,79,STRONG,full-electronic-procurement,SEARCH; SUBMIT_ELECTRONICALLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,eu-company; local-sme; healthcare
gr-kimdis,KIMDIS – Central Electronic Registry of Public Contracts (ΚΗΜΔΗΣ),greece,national,national-procurement,42,MODERATE,authorized-marketplace-or-tenant,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,no,SCRIPT_RENDERED,VERIFIED,local-sme
gt-guatecompras,Guatecompras,guatemala,national,national-procurement,,NOT_YET_SCORED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,BOT_PROTECTION,UNKNOWN,
hn-honducompras,HonduCompras,honduras,national,national-procurement,55,GOOD,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,VERIFIED_ACCEPTED,unknown,WAF,VERIFIED,local-sme; industrial-supplier; manufacturer
hu-ekr,EKR — Elektronikus Közbeszerzési Rendszer (Electronic Public Procurement System),hungary,national,national-procurement,47,MODERATE,discovery-only,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,b2b-saas; logistics; it-software
hu-kozbeszerzesi-hatosag-notice,Közbeszerzési Hatóság notice databases — Hirdetménykereső / Közbeszerzési Értesítő (kozbeszerzes.hu),hungary,national,national-procurement,65,STRONG,discovery-only,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,local-sme; eu-company
is-mercell-tendsign-iceland,Mercell TendSign Iceland (rafrænt útboðskerfi Fjársýslunnar),iceland,national,national-procurement,51,GOOD,registration-system,REGISTER,NOT_VERIFIED,yes,NOT_REQUIRED,VERIFIED,b2b-saas; industrial-supplier; local-sme
is-utbosvefur,Útboðsvefur (utbodsvefur.is) — national tender publication site,iceland,national,national-procurement,65,STRONG,discovery-only,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,VERIFIED,logistics; local-sme; professional-services
is-utbosvefur-reykjavikurborgar,Útboðsvefur Reykjavíkurborgar (City of Reykjavík e-tendering site),iceland,regional,regional-procurement,58,GOOD,discovery-plus-registration,SEARCH; REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,unknown,SCRIPT_RENDERED,OBSERVABLE,local-sme; industrial-supplier; manufacturer
in-central-public-procurement-portal,Central Public Procurement Portal (GeM-CPPP),india,national,national-procurement,56,GOOD,authorized-marketplace-or-tenant,SEARCH,NOT_VERIFIED,no,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; industrial-supplier
in-government-e-marketplace,Government e Marketplace (GeM),india,national,national-procurement,33,LIMITED,unknown,MONITOR_ONLY; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,TRANSPORT_FAILURE,OBSERVABLE,
in-indian-railways-e-procurement-system,Indian Railways E-Procurement System (IREPS),india,national,sector-procurement,63,GOOD,discovery-only,SEARCH; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,local-sme; engineering; manufacturer
in-telangana-state-eprocurement-portal,Telangana State eProcurement Portal,india,regional,regional-procurement,45,MODERATE,unknown,MONITOR_ONLY,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme
in-eprocurement-system-government-of-4,eProcurement System Government of Madhya Pradesh (MPTenders),india,regional,regional-procurement,64,GOOD,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; b2b-saas
in-eprocurement-system-government-of,eProcurement System Government of Maharashtra (MahaTenders),india,regional,regional-procurement,64,GOOD,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; b2b-saas
in-eprocurement-system-government-of-5,eProcurement System Government of Rajasthan,india,regional,regional-procurement,64,GOOD,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; b2b-saas
in-eprocurement-system-government-of-3,eProcurement System Government of Tamil Nadu (TN e-Procurement),india,regional,regional-procurement,64,GOOD,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; b2b-saas
in-eprocurement-system-government-of-2,eProcurement System Government of Uttar Pradesh,india,regional,regional-procurement,64,GOOD,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; b2b-saas
in-eprocurement-system-of-government,eProcurement System of Government of West Bengal (WBTenders),india,regional,regional-procurement,64,GOOD,discovery-only,SEARCH,NOT_VERIFIED,yes,NOT_REQUIRED,OBSERVABLE,local-sme; manufacturer; b2b-saas
id-inaproc,INAPROC (Platform Pengadaan Nasional),indonesia,national,national-procurement,58,GOOD,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,BOT_PROTECTION,VERIFIED,local-sme; industrial-supplier
id-katalog-elektronik,Katalog Elektronik (INAPROC Katalog Elektronik),indonesia,national,national-procurement,,NOT_YET_SCORED,authorized-marketplace-or-tenant,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,WAF,UNKNOWN,local-sme; b2b-saas; industrial-supplier
id-pln-e-procurement,PLN e-Procurement,indonesia,institutional,public-utility,51,GOOD,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,OBSERVABLE,industrial-supplier; healthcare
id-padi-umkm,PaDi UMKM (Pasar Digital UMKM),indonesia,national,b2b-tender-marketplace,47,MODERATE,registration-system,REGISTER; REQUIRES_BROWSER_CHECK,NOT_VERIFIED,yes,SCRIPT_RENDERED,VERIFIED,industrial-supplier; local-sme
