platform,collection,country,audience,actionability_status,next_action,action_url,cost,execution_confidence,difficulty,publishing_time,evidence_action_url,blocker,missing,native_score,native_signal,source_collection_url
Belize.com,Business Directories,Belize,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Benzinga,"Media, PR & Publishing",United States,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Ben’s Bites,"Media, PR & Publishing",United Kingdom,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
BetaKit,"Media, PR & Publishing",Canada,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
BetaList,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
BetaList,"Media, PR & Publishing",Netherlands,global,READY,Submit a product launch,https://betalist.com/submit,freemium,LOW,Unknown,Unknown,verified,,,77,Media Score 77 (Good),/research/media-pr-publishing/
BetaPage,Business Directories,Global,global,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Better Business Bureau,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P2",/research/business-directories/opportunities/
Beyond Menu,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Bezeq B144,Business Directories,Israel,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Bhinneka,Business Directories,Indonesia,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Bikroy,Business Directories,Bangladesh,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Bikroy,Marketplace & Classified Platforms,Bangladesh,,NEEDS_BROWSER,Verify the route in a browser,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,69,"accepts both sellers, freemium",/research/marketplaces/
Bilbasen,Business Directories,Denmark,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bilbasen,Marketplace & Classified Platforms,Denmark,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,68,"accepts both sellers, paid",/research/marketplaces/
Bing Places for Business,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Bioconductor,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bisnow,"Media, PR & Publishing",United States,global,READY,Submit company news,https://www.bisnow.com/about,free,LOW,Unknown,Unknown,verified,,,90,Media Score 90 (Exceptional),/research/media-pr-publishing/
Bitkom,Business Directories,Germany,dach,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Biz New Orleans,"Media, PR & Publishing",United States,local,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
BizBangBoom,Business Directories,India,india,READY,Create a business profile,https://www.bizbangboom.com/join,free,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
BizHwy,Business Directories,United States,united-states,READY,Create a business profile,https://www.bizhwy.com/addlisting.php,free,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
BizVibe,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
BizVoice,"Media, PR & Publishing",United States,local,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
BizWest,"Media, PR & Publishing",United States,local,READY,Submit company news,https://bizwest.com/contact-us/,free,LOW,Unknown,Unknown,verified,,,85,Media Score 85 (Strong),/research/media-pr-publishing/
Bizcommunity,Business Directories,Global,africa,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bizi.si,Business Directories,Slovenia,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Bizify,Business Directories,United Kingdom,united-kingdom,READY,Create a business profile,https://www.bizify.co.uk/add-new-company,freemium,MEDIUM,Easy,Unknown,verified,,,92,"tier tier1, priority P3",/research/business-directories/opportunities/
Bizin Deutschland,Business Directories,Germany,dach,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
BiznisMreža.mk,Business Directories,North Macedonia,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bizrate Surveys,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Bland.is,Marketplace & Classified Platforms,Iceland,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, freemium",/research/marketplaces/
Blauarbeit,Business Directories,Germany,dach,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
BleepingComputer,"Media, PR & Publishing",United States,global,READY,Pitch the editorial team,https://www.bleepingcomputer.com/news-tip/,free,MEDIUM,Unknown,Unknown,verified,,,91,Media Score 91 (Exceptional),/research/media-pr-publishing/
Blibli,Business Directories,Indonesia,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Blocket,Marketplace & Classified Platforms,Sweden,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
Bloomberg,"Media, PR & Publishing",United States,global,READY,Submit company news,https://www.bloomberg.com/tips/,unknown,LOW,Unknown,Unknown,verified,,,88,Media Score 88 (Exceptional),/research/media-pr-publishing/
Bloovi,"Media, PR & Publishing",Belgium,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Bob Shop,Business Directories,South Africa,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bob Shop,Marketplace & Classified Platforms,South Africa,,READY,Create a seller account,https://bobshop.co.za/content/153/index.html,free,LOW,Unknown,Unknown,verified,,,77,"accepts both sellers, freemium",/research/marketplaces/
Bodas.net,Business Directories,Spain,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Bolha.com,Marketplace & Classified Platforms,Slovenia,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,77,"accepts both sellers, freemium",/research/marketplaces/
Boligsiden,Marketplace & Classified Platforms,Denmark,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
Bongthom,Marketplace & Classified Platforms,Cambodia,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
BookMyShow,Business Directories,India,india,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Booking.com Partner Listing,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Bookoo,Marketplace & Classified Platforms,United States,,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts both sellers, free",/research/marketplaces/
Booksy,Business Directories,Global,europe; united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,100,"tier tier1, priority P1",/research/business-directories/opportunities/
Bouwend Nederland,Business Directories,Netherlands,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bproperty,Marketplace & Classified Platforms,Bangladesh,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,68,"accepts both sellers, paid",/research/marketplaces/
Brabys,Business Directories,South Africa,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Branchen-Domain,Business Directories,Germany,dach,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Branchenbuch Deutschland,Business Directories,Germany,dach,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Branchenbuch24,Business Directories,Germany,dach,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Branchenverzeichnis.at,Business Directories,Austria,dach,READY,Create a business profile,https://www.branchenverzeichnis.at/index.php?form=Login&RedirectTo=https%3A%2F%2Fwww.branchenverzeichnis.at%2Findex.php%3Fform%3DCompanyAdd,unknown,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
Brasscom,Business Directories,Brazil,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Breakit,"Media, PR & Publishing",Sweden,national,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,79,Media Score 79 (Strong),/research/media-pr-publishing/
BrighterMonday,Marketplace & Classified Platforms,Kenya,,READY,Create a seller account,https://www.brightermonday.co.ke/learning/courses/787,paid,LOW,Unknown,Unknown,verified,,,80,"accepts business sellers, paid",/research/marketplaces/
BrighterMonday Uganda,Marketplace & Classified Platforms,Uganda,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
Bring a Trailer,Marketplace & Classified Platforms,United States,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,71,"accepts both sellers, paid",/research/marketplaces/
British Chambers of Commerce,Business Directories,United Kingdom,united-kingdom,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Broadsheet,Business Directories,Australia,australia,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Brownbook,Business Directories,Global,global,NEEDS_RESEARCH,Research the submission route,,free,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
BuildZoom,Business Directories,United States,united-states,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Builderscrack,Business Directories,New Zealand,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Building Design+Construction,"Media, PR & Publishing",United States,national,READY,Submit company news,https://www.bdcnetwork.com/contact-us,free,MEDIUM,Unknown,Unknown,verified,,,87,Media Score 87 (Strong),/research/media-pr-publishing/
Built In,Business Directories,Global,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,94,"tier tier1, priority P1",/research/business-directories/opportunities/
Built In,"Media, PR & Publishing",United States,national,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,56,Media Score 56 (Moderate),/research/media-pr-publishing/
Bukalapak,Business Directories,Indonesia,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,82,"tier tier1, priority P3",/research/business-directories/opportunities/
Bulgarian Chamber of Commerce and Industry,Business Directories,Bulgaria,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bulurum,Business Directories,Turkey,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
BundesTelefonbuch,Business Directories,Germany,dach,READY,Create a business profile,https://www.bundes-telefonbuch.de/firma/grund-eintrag,unknown,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
Bunjang,Business Directories,South Korea,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bunjang,Marketplace & Classified Platforms,South Korea,,NEEDS_RESEARCH,Research the submission route,,freemium,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, freemium",/research/marketplaces/
Bunz,Marketplace & Classified Platforms,Canada,,NEEDS_BROWSER,Verify the route in a browser,,free,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,72,"accepts both sellers, free",/research/marketplaces/
Burpple,Business Directories,Singapore,country-specific,READY,Claim the existing company profile,https://business.burpple.com/,unknown,LOW,Unknown,Unknown,verified,,,78,"tier tier2, priority P2",/research/business-directories/opportunities/
Buscja,Business Directories,Brazil,latam,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
Business Centre Club,Business Directories,Poland,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Business Daily,"Media, PR & Publishing",Kenya,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Business Day,"Media, PR & Publishing",South Africa,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Business Insider Japan,"Media, PR & Publishing",Japan,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Business NSW,Business Directories,Australia,regional,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Business North Carolina,"Media, PR & Publishing",United States,local,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Business Standard,"Media, PR & Publishing",India,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
Business Wire,Business Directories,Global,global,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
Business Wire,"Media, PR & Publishing",United States,global,NEEDS_BROWSER,Verify the route in a browser,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,43,Media Score 43 (Limited),/research/media-pr-publishing/
Business Wire India,"Media, PR & Publishing",India,national,READY,Distribute a press release,https://www.businesswireindia.com/submit-press-release,paid,LOW,Unknown,Unknown,verified,,,53,Media Score 53 (Moderate),/research/media-pr-publishing/
Business-Branchenbuch,Business Directories,Germany,dach,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
BusinessCloud,"Media, PR & Publishing",United Kingdom,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
BusinessDay,"Media, PR & Publishing",Nigeria,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
BusinessList Indonesia,Business Directories,Indonesia,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
BusinessList Kenya,Business Directories,Kenya,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
BusinessList Malaysia,Business Directories,Malaysia,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
BusinessList Nigeria,Business Directories,Nigeria,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,68,"tier tier2, priority P2",/research/business-directories/opportunities/
BusinessList Pakistan,Business Directories,Pakistan,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
BusinessList Philippines,Business Directories,Philippines,country-specific,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
BusinessMagnet,Business Directories,United Kingdom,united-kingdom,READY,Create a business profile,https://www.businessmagnet.co.uk/manage-account/register,free,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
BusinessTech,"Media, PR & Publishing",South Africa,national,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
BusinessWorld,"Media, PR & Publishing",Philippines,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
BusinessYab,Business Directories,United States,north-america,READY,Create a business profile,https://www.businessyab.com/add-listing/,unknown,LOW,Unknown,Unknown,verified,,,56,"tier tier3, priority P3",/research/business-directories/opportunities/
BuyRentKenya,Marketplace & Classified Platforms,Kenya,,READY,Post a classified listing,https://www.buyrentkenya.com/crm/account/listings/create,paid,LOW,Unknown,Unknown,verified,,,68,"accepts both sellers, paid",/research/marketplaces/
Byggstart,Business Directories,Norway,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Byoinnavi,Business Directories,Japan,japan,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
Bytbil,Business Directories,Sweden,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
Bytbil,Marketplace & Classified Platforms,Sweden,,NEEDS_RESEARCH,Research the submission route,,paid,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,80,"accepts business sellers, paid",/research/marketplaces/
ByteByteGo,"Media, PR & Publishing",United States,global,READY,Submit a contributed article,https://bytebytego.com/become-a-contributor,unknown,LOW,Unknown,Unknown,verified,,,87,Media Score 87 (Strong),/research/media-pr-publishing/
Bílasölur,Marketplace & Classified Platforms,Iceland,,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,the action URL,74,"accepts both sellers, unknown",/research/marketplaces/
Børsen,"Media, PR & Publishing",Denmark,national,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
CAIRNE,Business Directories,Global,europe,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
CAME,Business Directories,Argentina,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CANACINTRA,Business Directories,Mexico,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CANIETI,Business Directories,Mexico,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CANIRAC,Business Directories,Mexico,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CCCME,Business Directories,China,china,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
CCPIT,Business Directories,China,china,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,86,"tier tier1, priority P2",/research/business-directories/opportunities/
CEHAT,Business Directories,Spain,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
CEOE,Business Directories,Spain,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CEPYME,Business Directories,Spain,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CESSI,Business Directories,Argentina,country-specific,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,46,"tier tier3, priority P3",/research/business-directories/opportunities/
CFO,"Media, PR & Publishing",United States,national,READY,Submit company news,https://www.cfo.com/submit-tip/,unknown,LOW,Unknown,Unknown,verified,,,86,Media Score 86 (Strong),/research/media-pr-publishing/
CFO Brew,"Media, PR & Publishing",United States,global,NEEDS_BROWSER,Verify the route in a browser,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,,below the Media Score evidence floor,/research/media-pr-publishing/
CFP Board Let's Make a Plan,Business Directories,United States,united-states,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CHEMEXCIL,Business Directories,India,india,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CIOB,Business Directories,United Kingdom,united-kingdom,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
CMAI,Business Directories,India,india,NEEDS_RESEARCH,Research the submission route,,unknown,INSUFFICIENT,Unknown,Unknown,unknown,,what action the platform supports; the action URL,64,"tier tier2, priority P3",/research/business-directories/opportunities/
